date_key,calender,year,quarter,day,month,weekday,week_of_year,isweekend,isholiday,isholiday_in_us,day_in_year,day_in_quarter,day_in_month,day_in_week
20240211,2024-02-11,2024,1,11,February,Sunday,6,True,False,False,42,42,11,7
20240212,2024-02-12,2024,1,12,February,Monday,7,False,False,False,43,43,12,1
20240213,2024-02-13,2024,1,13,February,Tuesday,7,False,False,False,44,44,13,2
20240214,2024-02-14,2024,1,14,February,Wednesday,7,False,False,False,45,45,14,3
20240215,2024-02-15,2024,1,15,February,Thursday,7,False,False,False,46,46,15,4
20240216,2024-02-16,2024,1,16,February,Friday,7,False,False,False,47,47,16,5
20240217,2024-02-17,2024,1,17,February,Saturday,7,True,False,False,48,48,17,6
20240218,2024-02-18,2024,1,18,February,Sunday,7,True,False,False,49,49,18,7
20240219,2024-02-19,2024,1,19,February,Monday,8,False,False,True,50,50,19,1
20240220,2024-02-20,2024,1,20,February,Tuesday,8,False,False,False,51,51,20,2
20240221,2024-02-21,2024,1,21,February,Wednesday,8,False,False,False,52,52,21,3
20240222,2024-02-22,2024,1,22,February,Thursday,8,False,False,False,53,53,22,4
20240223,2024-02-23,2024,1,23,February,Friday,8,False,False,False,54,54,23,5
20240224,2024-02-24,2024,1,24,February,Saturday,8,True,False,False,55,55,24,6
20240225,2024-02-25,2024,1,25,February,Sunday,8,True,False,False,56,56,25,7
20240226,2024-02-26,2024,1,26,February,Monday,9,False,False,False,57,57,26,1
20240227,2024-02-27,2024,1,27,February,Tuesday,9,False,False,False,58,58,27,2
20240228,2024-02-28,2024,1,28,February,Wednesday,9,False,False,False,59,59,28,3
20240229,2024-02-29,2024,1,29,February,Thursday,9,False,False,False,60,60,29,4
20240301,2024-03-01,2024,1,1,March,Friday,9,False,False,False,61,61,1,5
20240302,2024-03-02,2024,1,2,March,Saturday,9,True,False,False,62,62,2,6
20240303,2024-03-03,2024,1,3,March,Sunday,9,True,False,False,63,63,3,7
20240304,2024-03-04,2024,1,4,March,Monday,10,False,False,False,64,64,4,1
20240305,2024-03-05,2024,1,5,March,Tuesday,10,False,False,False,65,65,5,2
20240306,2024-03-06,2024,1,6,March,Wednesday,10,False,False,False,66,66,6,3
20240307,2024-03-07,2024,1,7,March,Thursday,10,False,False,False,67,67,7,4
20240308,2024-03-08,2024,1,8,March,Friday,10,False,False,False,68,68,8,5
20240309,2024-03-09,2024,1,9,March,Saturday,10,True,False,False,69,69,9,6
20240310,2024-03-10,2024,1,10,March,Sunday,10,True,False,False,70,70,10,7
20240311,2024-03-11,2024,1,11,March,Monday,11,False,False,False,71,71,11,1
20240312,2024-03-12,2024,1,12,March,Tuesday,11,False,False,False,72,72,12,2
20240313,2024-03-13,2024,1,13,March,Wednesday,11,False,False,False,73,73,13,3
20240314,2024-03-14,2024,1,14,March,Thursday,11,False,False,False,74,74,14,4
20240315,2024-03-15,2024,1,15,March,Friday,11,False,False,False,75,75,15,5
20240316,2024-03-16,2024,1,16,March,Saturday,11,True,False,False,76,76,16,6
20240317,2024-03-17,2024,1,17,March,Sunday,11,True,False,False,77,77,17,7
20240318,2024-03-18,2024,1,18,March,Monday,12,False,False,False,78,78,18,1
20240319,2024-03-19,2024,1,19,March,Tuesday,12,False,False,False,79,79,19,2
20240320,2024-03-20,2024,1,20,March,Wednesday,12,False,False,False,80,80,20,3
20240321,2024-03-21,2024,1,21,March,Thursday,12,False,False,False,81,81,21,4
20240322,2024-03-22,2024,1,22,March,Friday,12,False,False,False,82,82,22,5
20240323,2024-03-23,2024,1,23,March,Saturday,12,True,False,False,83,83,23,6
20240324,2024-03-24,2024,1,24,March,Sunday,12,True,False,False,84,84,24,7
20240325,2024-03-25,2024,1,25,March,Monday,13,False,False,False,85,85,25,1
20240326,2024-03-26,2024,1,26,March,Tuesday,13,False,False,False,86,86,26,2
20240327,2024-03-27,2024,1,27,March,Wednesday,13,False,False,False,87,87,27,3
20240328,2024-03-28,2024,1,28,March,Thursday,13,False,False,False,88,88,28,4
20240329,2024-03-29,2024,1,29,March,Friday,13,False,False,False,89,89,29,5
20240330,2024-03-30,2024,1,30,March,Saturday,13,True,False,False,90,90,30,6
20240331,2024-03-31,2024,1,31,March,Sunday,13,True,False,False,91,91,31,7
20240401,2024-04-01,2024,2,1,April,Monday,14,False,False,False,92,1,1,1
20240402,2024-04-02,2024,2,2,April,Tuesday,14,False,False,False,93,2,2,2
20240403,2024-04-03,2024,2,3,April,Wednesday,14,False,False,False,94,3,3,3
20240404,2024-04-04,2024,2,4,April,Thursday,14,False,False,False,95,4,4,4
20240405,2024-04-05,2024,2,5,April,Friday,14,False,False,False,96,5,5,5
20240406,2024-04-06,2024,2,6,April,Saturday,14,True,False,False,97,6,6,6
20240407,2024-04-07,2024,2,7,April,Sunday,14,True,False,False,98,7,7,7
20240408,2024-04-08,2024,2,8,April,Monday,15,False,False,False,99,8,8,1
20240409,2024-04-09,2024,2,9,April,Tuesday,15,False,False,False,100,9,9,2
20240410,2024-04-10,2024,2,10,April,Wednesday,15,False,False,False,101,10,10,3
20240411,2024-04-11,2024,2,11,April,Thursday,15,False,False,False,102,11,11,4
20240412,2024-04-12,2024,2,12,April,Friday,15,False,False,False,103,12,12,5
20240413,2024-04-13,2024,2,13,April,Saturday,15,True,False,False,104,13,13,6
20240414,2024-04-14,2024,2,14,April,Sunday,15,True,False,False,105,14,14,7
20240415,2024-04-15,2024,2,15,April,Monday,16,False,False,False,106,15,15,1
20240416,2024-04-16,2024,2,16,April,Tuesday,16,False,False,False,107,16,16,2
20240417,2024-04-17,2024,2,17,April,Wednesday,16,False,False,False,108,17,17,3
20240418,2024-04-18,2024,2,18,April,Thursday,16,False,False,False,109,18,18,4
20240419,2024-04-19,2024,2,19,April,Friday,16,False,False,False,110,19,19,5
20240420,2024-04-20,2024,2,20,April,Saturday,16,True,False,False,111,20,20,6
20240421,2024-04-21,2024,2,21,April,Sunday,16,True,False,False,112,21,21,7
20240422,2024-04-22,2024,2,22,April,Monday,17,False,False,False,113,22,22,1
20240423,2024-04-23,2024,2,23,April,Tuesday,17,False,True,False,114,23,23,2
20240424,2024-04-24,2024,2,24,April,Wednesday,17,False,False,False,115,24,24,3
20240425,2024-04-25,2024,2,25,April,Thursday,17,False,False,False,116,25,25,4
20240426,2024-04-26,2024,2,26,April,Friday,17,False,False,False,117,26,26,5
20240427,2024-04-27,2024,2,27,April,Saturday,17,True,False,False,118,27,27,6
20240428,2024-04-28,2024,2,28,April,Sunday,17,True,False,False,119,28,28,7
20240429,2024-04-29,2024,2,29,April,Monday,18,False,False,False,120,29,29,1
20240430,2024-04-30,2024,2,30,April,Tuesday,18,False,False,False,121,30,30,2
20240501,2024-05-01,2024,2,1,May,Wednesday,18,False,True,False,122,31,1,3
20240502,2024-05-02,2024,2,2,May,Thursday,18,False,False,False,123,32,2,4
20240503,2024-05-03,2024,2,3,May,Friday,18,False,False,False,124,33,3,5
20240504,2024-05-04,2024,2,4,May,Saturday,18,True,False,False,125,34,4,6
20240505,2024-05-05,2024,2,5,May,Sunday,18,True,False,False,126,35,5,7
20240506,2024-05-06,2024,2,6,May,Monday,19,False,False,False,127,36,6,1
20240507,2024-05-07,2024,2,7,May,Tuesday,19,False,False,False,128,37,7,2
20240508,2024-05-08,2024,2,8,May,Wednesday,19,False,False,False,129,38,8,3
20240509,2024-05-09,2024,2,9,May,Thursday,19,False,False,False,130,39,9,4
20240510,2024-05-10,2024,2,10,May,Friday,19,False,False,False,131,40,10,5
20240511,2024-05-11,2024,2,11,May,Saturday,19,True,False,False,132,41,11,6
20240512,2024-05-12,2024,2,12,May,Sunday,19,True,False,False,133,42,12,7
20240513,2024-05-13,2024,2,13,May,Monday,20,False,False,False,134,43,13,1
20240514,2024-05-14,2024,2,14,May,Tuesday,20,False,False,False,135,44,14,2
20240515,2024-05-15,2024,2,15,May,Wednesday,20,False,False,False,136,45,15,3
20240516,2024-05-16,2024,2,16,May,Thursday,20,False,False,False,137,46,16,4
20240517,2024-05-17,2024,2,17,May,Friday,20,False,False,False,138,47,17,5
20240518,2024-05-18,2024,2,18,May,Saturday,20,True,False,False,139,48,18,6
20240519,2024-05-19,2024,2,19,May,Sunday,20,True,True,False,140,49,19,7
20240520,2024-05-20,2024,2,20,May,Monday,21,False,False,False,141,50,20,1
20240521,2024-05-21,2024,2,21,May,Tuesday,21,False,False,False,142,51,21,2
20240522,2024-05-22,2024,2,22,May,Wednesday,21,False,False,False,143,52,22,3
20240523,2024-05-23,2024,2,23,May,Thursday,21,False,False,False,144,53,23,4
20240524,2024-05-24,2024,2,24,May,Friday,21,False,False,False,145,54,24,5
20240525,2024-05-25,2024,2,25,May,Saturday,21,True,False,False,146,55,25,6
20240526,2024-05-26,2024,2,26,May,Sunday,21,True,False,False,147,56,26,7
20240527,2024-05-27,2024,2,27,May,Monday,22,False,False,True,148,57,27,1
20240528,2024-05-28,2024,2,28,May,Tuesday,22,False,False,False,149,58,28,2
20240529,2024-05-29,2024,2,29,May,Wednesday,22,False,False,False,150,59,29,3
20240530,2024-05-30,2024,2,30,May,Thursday,22,False,False,False,151,60,30,4
20240531,2024-05-31,2024,2,31,May,Friday,22,False,False,False,152,61,31,5
20240601,2024-06-01,2024,2,1,June,Saturday,22,True,False,False,153,62,1,6
20240602,2024-06-02,2024,2,2,June,Sunday,22,True,False,False,154,63,2,7
20240603,2024-06-03,2024,2,3,June,Monday,23,False,False,False,155,64,3,1
20240604,2024-06-04,2024,2,4,June,Tuesday,23,False,False,False,156,65,4,2
20240605,2024-06-05,2024,2,5,June,Wednesday,23,False,False,False,157,66,5,3
20240606,2024-06-06,2024,2,6,June,Thursday,23,False,False,False,158,67,6,4
20240607,2024-06-07,2024,2,7,June,Friday,23,False,False,False,159,68,7,5
20240608,2024-06-08,2024,2,8,June,Saturday,23,True,False,False,160,69,8,6
20240609,2024-06-09,2024,2,9,June,Sunday,23,True,False,False,161,70,9,7
20240610,2024-06-10,2024,2,10,June,Monday,24,False,False,False,162,71,10,1
20240611,2024-06-11,2024,2,11,June,Tuesday,24,False,False,False,163,72,11,2
20240612,2024-06-12,2024,2,12,June,Wednesday,24,False,False,False,164,73,12,3
20240613,2024-06-13,2024,2,13,June,Thursday,24,False,False,False,165,74,13,4
20240614,2024-06-14,2024,2,14,June,Friday,24,False,False,False,166,75,14,5
20240615,2024-06-15,2024,2,15,June,Saturday,24,True,False,False,167,76,15,6
20240616,2024-06-16,2024,2,16,June,Sunday,24,True,False,False,168,77,16,7
20240617,2024-06-17,2024,2,17,June,Monday,25,False,False,False,169,78,17,1
20240618,2024-06-18,2024,2,18,June,Tuesday,25,False,False,False,170,79,18,2
20240619,2024-06-19,2024,2,19,June,Wednesday,25,False,False,True,171,80,19,3
20240620,2024-06-20,2024,2,20,June,Thursday,25,False,False,False,172,81,20,4
20240621,2024-06-21,2024,2,21,June,Friday,25,False,False,False,173,82,21,5
20240622,2024-06-22,2024,2,22,June,Saturday,25,True,False,False,174,83,22,6
20240623,2024-06-23,2024,2,23,June,Sunday,25,True,False,False,175,84,23,7
20240624,2024-06-24,2024,2,24,June,Monday,26,False,False,False,176,85,24,1
20240625,2024-06-25,2024,2,25,June,Tuesday,26,False,False,False,177,86,25,2
20240626,2024-06-26,2024,2,26,June,Wednesday,26,False,False,False,178,87,26,3
20240627,2024-06-27,2024,2,27,June,Thursday,26,False,False,False,179,88,27,4
20240628,2024-06-28,2024,2,28,June,Friday,26,False,False,False,180,89,28,5
20240629,2024-06-29,2024,2,29,June,Saturday,26,True,False,False,181,90,29,6
20240630,2024-06-30,2024,2,30,June,Sunday,26,True,False,False,182,91,30,7
20240701,2024-07-01,2024,3,1,July,Monday,27,False,False,False,183,1,1,1
20240702,2024-07-02,2024,3,2,July,Tuesday,27,False,False,False,184,2,2,2
20240703,2024-07-03,2024,3,3,July,Wednesday,27,False,False,False,185,3,3,3
20240704,2024-07-04,2024,3,4,July,Thursday,27,False,False,True,186,4,4,4
20240705,2024-07-05,2024,3,5,July,Friday,27,False,False,False,187,5,5,5
20240706,2024-07-06,2024,3,6,July,Saturday,27,True,False,False,188,6,6,6
20240707,2024-07-07,2024,3,7,July,Sunday,27,True,False,False,189,7,7,7
20240708,2024-07-08,2024,3,8,July,Monday,28,False,False,False,190,8,8,1
20240709,2024-07-09,2024,3,9,July,Tuesday,28,False,False,False,191,9,9,2
20240710,2024-07-10,2024,3,10,July,Wednesday,28,False,False,False,192,10,10,3
20240711,2024-07-11,2024,3,11,July,Thursday,28,False,False,False,193,11,11,4
20240712,2024-07-12,2024,3,12,July,Friday,28,False,False,False,194,12,12,5
20240713,2024-07-13,2024,3,13,July,Saturday,28,True,False,False,195,13,13,6
20240714,2024-07-14,2024,3,14,July,Sunday,28,True,False,False,196,14,14,7
20240715,2024-07-15,2024,3,15,July,Monday,29,False,True,False,197,15,15,1
20240716,2024-07-16,2024,3,16,July,Tuesday,29,False,False,False,198,16,16,2
20240717,2024-07-17,2024,3,17,July,Wednesday,29,False,False,False,199,17,17,3
20240718,2024-07-18,2024,3,18,July,Thursday,29,False,False,False,200,18,18,4
20240719,2024-07-19,2024,3,19,July,Friday,29,False,False,False,201,19,19,5
20240720,2024-07-20,2024,3,20,July,Saturday,29,True,False,False,202,20,20,6
20240721,2024-07-21,2024,3,21,July,Sunday,29,True,False,False,203,21,21,7
20240722,2024-07-22,2024,3,22,July,Monday,30,False,False,False,204,22,22,1
20240723,2024-07-23,2024,3,23,July,Tuesday,30,False,False,False,205,23,23,2
20240724,2024-07-24,2024,3,24,July,Wednesday,30,False,False,False,206,24,24,3
20240725,2024-07-25,2024,3,25,July,Thursday,30,False,False,False,207,25,25,4
20240726,2024-07-26,2024,3,26,July,Friday,30,False,False,False,208,26,26,5
20240727,2024-07-27,2024,3,27,July,Saturday,30,True,False,False,209,27,27,6
20240728,2024-07-28,2024,3,28,July,Sunday,30,True,False,False,210,28,28,7
20240729,2024-07-29,2024,3,29,July,Monday,31,False,False,False,211,29,29,1
20240730,2024-07-30,2024,3,30,July,Tuesday,31,False,False,False,212,30,30,2
20240731,2024-07-31,2024,3,31,July,Wednesday,31,False,False,False,213,31,31,3
20240801,2024-08-01,2024,3,1,August,Thursday,31,False,False,False,214,32,1,4
20240802,2024-08-02,2024,3,2,August,Friday,31,False,False,False,215,33,2,5
20240803,2024-08-03,2024,3,3,August,Saturday,31,True,False,False,216,34,3,6
20240804,2024-08-04,2024,3,4,August,Sunday,31,True,False,False,217,35,4,7
20240805,2024-08-05,2024,3,5,August,Monday,32,False,False,False,218,36,5,1
20240806,2024-08-06,2024,3,6,August,Tuesday,32,False,False,False,219,37,6,2
20240807,2024-08-07,2024,3,7,August,Wednesday,32,False,False,False,220,38,7,3
20240808,2024-08-08,2024,3,8,August,Thursday,32,False,False,False,221,39,8,4
20240809,2024-08-09,2024,3,9,August,Friday,32,False,False,False,222,40,9,5
20240810,2024-08-10,2024,3,10,August,Saturday,32,True,False,False,223,41,10,6
20240811,2024-08-11,2024,3,11,August,Sunday,32,True,False,False,224,42,11,7
20240812,2024-08-12,2024,3,12,August,Monday,33,False,False,False,225,43,12,1
20240813,2024-08-13,2024,3,13,August,Tuesday,33,False,False,False,226,44,13,2
20240814,2024-08-14,2024,3,14,August,Wednesday,33,False,False,False,227,45,14,3
20240815,2024-08-15,2024,3,15,August,Thursday,33,False,False,False,228,46,15,4
20240816,2024-08-16,2024,3,16,August,Friday,33,False,False,False,229,47,16,5
20240817,2024-08-17,2024,3,17,August,Saturday,33,True,False,False,230,48,17,6
20240818,2024-08-18,2024,3,18,August,Sunday,33,True,False,False,231,49,18,7
20240819,2024-08-19,2024,3,19,August,Monday,34,False,False,False,232,50,19,1
20240820,2024-08-20,2024,3,20,August,Tuesday,34,False,False,False,233,51,20,2
20240821,2024-08-21,2024,3,21,August,Wednesday,34,False,False,False,234,52,21,3
20240822,2024-08-22,2024,3,22,August,Thursday,34,False,False,False,235,53,22,4
20240823,2024-08-23,2024,3,23,August,Friday,34,False,False,False,236,54,23,5
20240824,2024-08-24,2024,3,24,August,Saturday,34,True,False,False,237,55,24,6
20240825,2024-08-25,2024,3,25,August,Sunday,34,True,False,False,238,56,25,7
20240826,2024-08-26,2024,3,26,August,Monday,35,False,False,False,239,57,26,1
20240827,2024-08-27,2024,3,27,August,Tuesday,35,False,False,False,240,58,27,2
20240828,2024-08-28,2024,3,28,August,Wednesday,35,False,False,False,241,59,28,3
20240829,2024-08-29,2024,3,29,August,Thursday,35,False,False,False,242,60,29,4
20240830,2024-08-30,2024,3,30,August,Friday,35,False,True,False,243,61,30,5
20240831,2024-08-31,2024,3,31,August,Saturday,35,True,False,False,244,62,31,6
20240901,2024-09-01,2024,3,1,September,Sunday,35,True,False,False,245,63,1,7
20240902,2024-09-02,2024,3,2,September,Monday,36,False,False,True,246,64,2,1
20240903,2024-09-03,2024,3,3,September,Tuesday,36,False,False,False,247,65,3,2
20240904,2024-09-04,2024,3,4,September,Wednesday,36,False,False,False,248,66,4,3
20240905,2024-09-05,2024,3,5,September,Thursday,36,False,False,False,249,67,5,4
20240906,2024-09-06,2024,3,6,September,Friday,36,False,False,False,250,68,6,5
20240907,2024-09-07,2024,3,7,September,Saturday,36,True,False,False,251,69,7,6
20240908,2024-09-08,2024,3,8,September,Sunday,36,True,False,False,252,70,8,7
20240909,2024-09-09,2024,3,9,September,Monday,37,False,False,False,253,71,9,1
20240910,2024-09-10,2024,3,10,September,Tuesday,37,False,False,False,254,72,10,2
20240911,2024-09-11,2024,3,11,September,Wednesday,37,False,False,False,255,73,11,3
20240912,2024-09-12,2024,3,12,September,Thursday,37,False,False,False,256,74,12,4
20240913,2024-09-13,2024,3,13,September,Friday,37,False,False,False,257,75,13,5
20240914,2024-09-14,2024,3,14,September,Saturday,37,True,False,False,258,76,14,6
20240915,2024-09-15,2024,3,15,September,Sunday,37,True,False,False,259,77,15,7
20240916,2024-09-16,2024,3,16,September,Monday,38,False,False,False,260,78,16,1
20240917,2024-09-17,2024,3,17,September,Tuesday,38,False,False,False,261,79,17,2
20240918,2024-09-18,2024,3,18,September,Wednesday,38,False,False,False,262,80,18,3
20240919,2024-09-19,2024,3,19,September,Thursday,38,False,False,False,263,81,19,4
20240920,2024-09-20,2024,3,20,September,Friday,38,False,False,False,264,82,20,5
20240921,2024-09-21,2024,3,21,September,Saturday,38,True,False,False,265,83,21,6
20240922,2024-09-22,2024,3,22,September,Sunday,38,True,False,False,266,84,22,7
20240923,2024-09-23,2024,3,23,September,Monday,39,False,False,False,267,85,23,1
20240924,2024-09-24,2024,3,24,September,Tuesday,39,False,False,False,268,86,24,2
20240925,2024-09-25,2024,3,25,September,Wednesday,39,False,False,False,269,87,25,3
20240926,2024-09-26,2024,3,26,September,Thursday,39,False,False,False,270,88,26,4
20240927,2024-09-27,2024,3,27,September,Friday,39,False,False,False,271,89,27,5
20240928,2024-09-28,2024,3,28,September,Saturday,39,True,False,False,272,90,28,6
20240929,2024-09-29,2024,3,29,September,Sunday,39,True,False,False,273,91,29,7
20240930,2024-09-30,2024,3,30,September,Monday,40,False,False,False,274,92,30,1
20241001,2024-10-01,2024,4,1,October,Tuesday,40,False,False,False,275,1,1,2
20241002,2024-10-02,2024,4,2,October,Wednesday,40,False,False,False,276,2,2,3
20241003,2024-10-03,2024,4,3,October,Thursday,40,False,False,False,277,3,3,4
20241004,2024-10-04,2024,4,4,October,Friday,40,False,False,False,278,4,4,5
20241005,2024-10-05,2024,4,5,October,Saturday,40,True,False,False,279,5,5,6
20241006,2024-10-06,2024,4,6,October,Sunday,40,True,False,False,280,6,6,7
20241007,2024-10-07,2024,4,7,October,Monday,41,False,False,False,281,7,7,1
20241008,2024-10-08,2024,4,8,October,Tuesday,41,False,False,False,282,8,8,2
20241009,2024-10-09,2024,4,9,October,Wednesday,41,False,False,False,283,9,9,3
20241010,2024-10-10,2024,4,10,October,Thursday,41,False,False,False,284,10,10,4
20241011,2024-10-11,2024,4,11,October,Friday,41,False,False,False,285,11,11,5
20241012,2024-10-12,2024,4,12,October,Saturday,41,True,False,False,286,12,12,6
20241013,2024-10-13,2024,4,13,October,Sunday,41,True,False,False,287,13,13,7
20241014,2024-10-14,2024,4,14,October,Monday,42,False,False,True,288,14,14,1
20241015,2024-10-15,2024,4,15,October,Tuesday,42,False,False,False,289,15,15,2
20241016,2024-10-16,2024,4,16,October,Wednesday,42,False,False,False,290,16,16,3
20241017,2024-10-17,2024,4,17,October,Thursday,42,False,False,False,291,17,17,4
20241018,2024-10-18,2024,4,18,October,Friday,42,False,False,False,292,18,18,5
20241019,2024-10-19,2024,4,19,October,Saturday,42,True,False,False,293,19,19,6
20241020,2024-10-20,2024,4,20,October,Sunday,42,True,False,False,294,20,20,7
20241021,2024-10-21,2024,4,21,October,Monday,43,False,False,False,295,21,21,1
20241022,2024-10-22,2024,4,22,October,Tuesday,43,False,False,False,296,22,22,2
20241023,2024-10-23,2024,4,23,October,Wednesday,43,False,False,False,297,23,23,3
20241024,2024-10-24,2024,4,24,October,Thursday,43,False,False,False,298,24,24,4
20241025,2024-10-25,2024,4,25,October,Friday,43,False,False,False,299,25,25,5
20241026,2024-10-26,2024,4,26,October,Saturday,43,True,False,False,300,26,26,6
20241027,2024-10-27,2024,4,27,October,Sunday,43,True,False,False,301,27,27,7
20241028,2024-10-28,2024,4,28,October,Monday,44,False,False,False,302,28,28,1
20241029,2024-10-29,2024,4,29,October,Tuesday,44,False,True,False,303,29,29,2
20241030,2024-10-30,2024,4,30,October,Wednesday,44,False,False,False,304,30,30,3
20241031,2024-10-31,2024,4,31,October,Thursday,44,False,False,False,305,31,31,4
20241101,2024-11-01,2024,4,1,November,Friday,44,False,False,False,306,32,1,5
20241102,2024-11-02,2024,4,2,November,Saturday,44,True,False,False,307,33,2,6
20241103,2024-11-03,2024,4,3,November,Sunday,44,True,False,False,308,34,3,7
20241104,2024-11-04,2024,4,4,November,Monday,45,False,False,False,309,35,4,1
20241105,2024-11-05,2024,4,5,November,Tuesday,45,False,False,False,310,36,5,2
20241106,2024-11-06,2024,4,6,November,Wednesday,45,False,False,False,311,37,6,3
20241107,2024-11-07,2024,4,7,November,Thursday,45,False,False,False,312,38,7,4
20241108,2024-11-08,2024,4,8,November,Friday,45,False,False,False,313,39,8,5
20241109,2024-11-09,2024,4,9,November,Saturday,45,True,False,False,314,40,9,6
20241110,2024-11-10,2024,4,10,November,Sunday,45,True,False,False,315,41,10,7
20241111,2024-11-11,2024,4,11,November,Monday,46,False,False,True,316,42,11,1
20241112,2024-11-12,2024,4,12,November,Tuesday,46,False,False,False,317,43,12,2
20241113,2024-11-13,2024,4,13,November,Wednesday,46,False,False,False,318,44,13,3
20241114,2024-11-14,2024,4,14,November,Thursday,46,False,False,False,319,45,14,4
20241115,2024-11-15,2024,4,15,November,Friday,46,False,False,False,320,46,15,5
20241116,2024-11-16,2024,4,16,November,Saturday,46,True,False,False,321,47,16,6
20241117,2024-11-17,2024,4,17,November,Sunday,46,True,False,False,322,48,17,7
20241118,2024-11-18,2024,4,18,November,Monday,47,False,False,False,323,49,18,1
20241119,2024-11-19,2024,4,19,November,Tuesday,47,False,False,False,324,50,19,2
20241120,2024-11-20,2024,4,20,November,Wednesday,47,False,False,False,325,51,20,3
20241121,2024-11-21,2024,4,21,November,Thursday,47,False,False,False,326,52,21,4
20241122,2024-11-22,2024,4,22,November,Friday,47,False,False,False,327,53,22,5
20241123,2024-11-23,2024,4,23,November,Saturday,47,True,False,False,328,54,23,6
20241124,2024-11-24,2024,4,24,November,Sunday,47,True,False,False,329,55,24,7
20241125,2024-11-25,2024,4,25,November,Monday,48,False,False,False,330,56,25,1
20241126,2024-11-26,2024,4,26,November,Tuesday,48,False,False,False,331,57,26,2
20241127,2024-11-27,2024,4,27,November,Wednesday,48,False,False,False,332,58,27,3
20241128,2024-11-28,2024,4,28,November,Thursday,48,False,False,True,333,59,28,4
20241129,2024-11-29,2024,4,29,November,Friday,48,False,False,False,334,60,29,5
20241130,2024-11-30,2024,4,30,November,Saturday,48,True,False,False,335,61,30,6
20241201,2024-12-01,2024,4,1,December,Sunday,48,True,False,False,336,62,1,7
20241202,2024-12-02,2024,4,2,December,Monday,49,False,False,False,337,63,2,1
